Name,HP,Blue,Yellow,Orange1,Orange2,Red1,Red2,Red3,Role,Description,Collection
Sam Winchester,3,Brother in Arms: Lucky,+1 Action,Hold Your Nose,Lifesaver,+1 Free Combat Action,Reaper: Ranged,Regeneration,"Support polyvalent","Survivant équilibré excellent en soutien d'équipe. La synergie Brother in Arms le rend plus efficace en groupe. Lifesaver permet de protéger ses alliés. Sa régénération en fait un tank résilient en fin de partie, tandis que ses actions supplémentaires et son expertise au tir à distance (Reaper: Ranged) lui donnent une grande polyvalence tactique.",Supernatural
Bobby Singer,3,Sniper,+1 Action,+1 Free Ranged Action,Hoard,+1 Damage: Ranged,+1 Free Combat Action,Blitz,"Tireur d'élite","Spécialiste du combat à distance redoutable. Sniper augmente sa portée dès le début. Hoard lui permet d'accumuler des ressources. Sa puissance de feu explose en zone rouge avec +1 dégât à distance, des actions de tir gratuites et Blitz pour éliminer plusieurs cibles. Excellent pour le contrôle de zone à longue portée.",Supernatural
Castiel,3,Medic,+1 Action,Blitz,Dreadnought: Walker,+1 Free Combat Action,Regeneration,Super Strength,"Tank soigneur","Ange guerrier aux capacités exceptionnelles. Medic permet de soigner les alliés. Dreadnought: Walker ignore les zombies walkers. En zone rouge, devient une force de la nature avec Super Strength, Regeneration et actions de combat gratuites. Parfait pour tenir la ligne de front tout en soutenant l'équipe.",Supernatural
Crowley,3,Tactician,+1 Action,Hit and Run,Zombielink,+1 Free Melee Action,Charge,Super Strength,"Manipulateur mobile","Démon rusé et tactique. Tactician donne un avantage stratégique. Hit and Run et Zombielink permettent une mobilité exceptionnelle. Charge et Super Strength en font un combattant au corps-à-corps dévastateur en fin de partie. Excelle dans les manœuvres tactiques et le repositionnement.",Supernatural
Dean Winchester,3,Brother in Arms: Tough,+1 Action,Is That All You Got?,Taunt,+1 Free Ranged Action,Bloodlust: Melee,Regeneration,"Combattant polyvalent","Chasseur vétéran et résilient. Brother in Arms: Tough renforce la synergie d'équipe avec bonus de résistance. Taunt attire les zombies pour protéger les alliés. Is That All You Got? augmente sa survie. Polyvalent avec capacités de tir et de mêlée (Bloodlust), plus Regeneration pour tenir longtemps.",Supernatural
Jack Kline,3,Can Search More Than Once,+1 Action,Distributor,Shove,+1 Free Combat Action,Slippery,Super Strength,"Support logistique","Nephilim aux pouvoirs uniques. Peut fouiller plusieurs fois par tour dès le début. Distributor partage les ressources avec l'équipe. Shove repousse les ennemis. Slippery et Super Strength en zone rouge le rendent difficile à coincer. Excellent pour la gestion d'équipement et le support d'équipe.",Supernatural
John Winchester,3,Born Leader,+1 Action,+1 Free Melee Action,+1 Free Ranged Action,Charge,+1 Free Combat Action,Regeneration,"Leader offensif","Patriarche Winchester et leader naturel. Born Leader booste toute l'équipe. Actions gratuites de mêlée et distance en orange le rendent polyvalent. En rouge, Charge et actions de combat multiples en font une machine de guerre. Regeneration assure sa survie. Leader offensif qui inspire et domine le champ de bataille.",Supernatural
Wanda,3,Sprint / Bloodlust: Melee,+1 Action,+1 to Dice Roll: Melee,Hit & Run,+1 Damage: Melee,+1 Die: Combat,+1 Free Move Action,"Berserker mobile","Combattante au corps-à-corps explosif. Sprint et Bloodlust: Melee dès le début pour éliminer rapidement. Hit & Run permet de frapper et fuir. En zone rouge, bonus aux dés et dégâts en font une tueuse dévastatrice. Mobilité accrue avec action de déplacement gratuite. Parfaite pour les assauts rapides et mortels.",
Her Royal Majesty,3,Medic,+1 Action,+1 Free Ranged Action,Born Leader,+1 Free Combat Action,Escalation: Combat,Regeneration,"Leader soigneur","Leader royale au soutien exceptionnel. Medic et Born Leader boostent toute l'équipe dès le début. Actions de tir gratuites et Escalation: Combat en font une force croissante. Regeneration assure sa longévité. Combine leadership, soin et puissance de feu pour un soutien d'équipe complet.",
Doria,3,Reaper: Ranged,+1 Action,+1 Die: Ranged,Sniper,+1 Free Ranged Action,+1 Free Melee Action,Reaper: Melee,"Tueuse polyvalente","Experte du combat avec double Reaper. Commence avec Reaper: Ranged pour éliminer à distance. Sniper augmente la portée. En zone rouge, obtient Reaper: Melee et des actions gratuites en mêlée et distance. Polyvalence totale et capacité à éliminer plusieurs cibles par tour dans les deux styles de combat.",
